Country,SuicideRate
AFG,2.1
ALB,4.3
DZA,1.8
AGO,4.6
ATG,0.9
ARG,3.5
ARM,2
AUS,6
AUT,5.7
AZE,1
BHS,0.5
BHR,2.1
BGD,6.7
BRB,0.3
BLR,6.2
BEL,9.4
BLZ,2
BEN,9.6
BTN,8.9
BOL,8.9
BIH,2.5
BWA,5.7
BRA,2.8
BRN,2.8
BGR,3.2
BFA,9.1
BDI,7.7
CPV,7.7
KHM,3.2
CMR,12.5
CAN,5.8
CAF,6
TCD,13.8
CHL,3.8
CHN,8.3
COL,2.8
COM,5.4
COG,5
CRI,2.3
CIV,13
HRV,5.1
CUB,4.1
CYP,1.9
CSK,4.2
PRK,8
COD,4.9
DNK,5.2
DJI,5.3
DOM,3.2
ECU,3.8
EGY,1.7
SLV,4.3
GNQ,10.8
ERI,6.1
EST,4.4
SWZ,9.6
ETH,4.7
FJI,2.5
FIN,6.8
FRA,6.5
GAB,4.3
GMB,7.3
GEO,1.9
DEU,4.8
GHA,2.9
GRC,1.5
GRD,1
GTM,1.7
GIN,8.4
GNB,6.1
GUY,14.2
HTI,6.4
HND,1.7
HUN,6.2
ISL,4.7
IND,14.5
IDN,2.2
IRN,3.1
IRQ,3.4
IRL,4.2
ISR,2.4
ITA,2.6
JAM,0.9
JPN,8.1
JOR,2.7
KAZ,7.7
KEN,2.1
KIR,5.4
KWT,1.7
KGZ,3.7
LAO,6.1
LVA,5.1
LBN,2.2
LSO,32.6
LBR,13
LBY,2.3
LTU,6.7
LUX,5.8
MDG,3.6
MWI,3.2
MYS,3.6
MDV,1.6
MLI,4.7
MLT,2.8
MRT,3.6
MUS,2.2
MAX,2.3
FSM,6.2
MNG,3.8
MNE,3.6
MAR,3.6
MOZ,4.1
MMR,9.8
NAM,4.9
NPL,8
NLD,6.4
NZL,6.2
NIC,5
NER,6.7
NGA,17.1
NOR,6.5
OMN,0.9
PAK,3.1
PAN,1.2
PNG,3.8
PRY,6.2
PER,2.7
PHL,2.3
POL,3.4
PRT,3.8
QAT,1.1
KOR,11.6
MDA,3.8
ROU,2.4
RUS,7.5
RWA,6
LCA,2.1
VCT,0.9
WSM,2.2
STP,2.1
SAU,1.7
SEN,5.2
SRB,5.2
SYC,2.1
SLE,14.2
SGP,4.9
SVK,2.6
SVN,4.5
SLB,3.2
SOM,5.4
ZAF,5.1
SSD,4.1
ESP,3.1
LKA,6.2
SDN,4.6
SUR,10.9
SWE,7.4
CHE,6.9
SYR,1.1
TJK,1.7
THA,4.8
MKD,3
TLS,3.7
TGO,10.9
TON,2.9
TTO,4.3
TUN,2.2
TUR,3.2
TKM,3.7
UGA,18.7
UKR,4.7
ARE,0.8
GBR,3.5
TZA,5.4
USA,6.4
URY,7.1
UZB,4.6
VUT,2.7
VEN,1.2
VNM,3.4
YEM,6.2
ZMB,6.2
ZWE,11.1
