Country,SuicideRate
AFG,10.6
ALB,7
DZA,4.9
AGO,14
ATG,0
ARG,15
ARM,10.1
AUS,17.4
AUT,17.5
AZE,4.3
BHS,2.8
BHR,7.9
BGD,5.5
BRB,0.8
BLR,39.3
BEL,22.2
BLZ,9.9
BEN,22.6
BTN,13.8
BOL,16.9
BIH,10.6
BWA,18.3
BRA,9.7
BRN,6.2
BGR,13.1
BFA,22.4
BDI,23.1
CPV,24.1
KHM,9
CMR,26.9
CAN,15.1
CAF,18
TCD,17.1
CHL,16
CHN,7.9
COL,11.5
COM,17.6
COG,13.9
CRI,12.8
CIV,32
HRV,18.8
CUB,16.4
CYP,7.2
CSK,17.2
PRK,14.8
COD,15
DNK,13.2
DJI,11.9
DOM,17.9
ECU,10.7
EGY,7.2
SLV,24.8
GNQ,31.3
ERI,22.4
EST,25.6
SWZ,25.4
ETH,18.7
FJI,8.8
FIN,20.8
FRA,17.9
GAB,15
GMB,12.8
GEO,12.3
DEU,13.6
GHA,15.8
GRC,6.1
GRD,2.1
GTM,4.4
GIN,12.7
GNB,8.9
GUY,46.6
HTI,18.3
HND,5.3
HUN,22.2
ISL,21.7
IND,18.5
IDN,5.2
IRN,4.9
IRQ,4.7
IRL,17.6
ISR,8.2
ITA,8.4
JAM,3.2
JPN,20.5
JOR,4.7
KAZ,40.1
KEN,9.7
KIR,25.9
KWT,2.5
KGZ,14.8
LAO,12.9
LVA,31
LBN,4.2
LSO,22.7
LBR,13.8
LBY,8.7
LTU,47.5
LUX,15
MDG,10.5
MWI,13.7
MYS,8.7
MDV,3.6
MLI,13.5
MLT,10.3
MRT,12.1
MUS,12.5
MAX,8.2
FSM,16.2
MNG,23.3
MNE,12.6
MAR,2.5
MOZ,14
MMR,6.3
NAM,19.4
NPL,11.4
NLD,12.9
NZL,17.3
NIC,19.2
NER,11.5
NGA,17.5
NOR,13.6
OMN,4.8
PAK,3
PAN,7.6
PNG,10.2
PRY,12.3
PER,7.6
PHL,5.2
POL,23.9
PRT,14.3
QAT,7.3
KOR,29.6
MDA,24.1
ROU,13.9
RUS,48.3
RWA,16.9
LCA,12.7
VCT,3.9
WSM,8.7
STP,4.2
SAU,4.6
SEN,20.3
SRB,17.3
SYC,15
SLE,18.2
SGP,11.1
SVK,18.4
SVN,22.4
SLB,8.5
SOM,11.5
ZAF,21.7
SSD,8.3
ESP,9.3
LKA,23.3
SDN,14.5
SUR,36.1
SWE,15.8
CHE,15.8
SYR,3.8
TJK,5
THA,21.4
MKD,9.7
TLS,9
TGO,22.7
TON,5.2
TTO,21.9
TUN,4.4
TUR,11.3
TKM,11
UGA,21.2
UKR,34.5
ARE,3.5
GBR,11.9
TZA,14.3
USA,21.1
URY,26.8
UZB,10.3
VUT,8.1
VEN,6.6
VNM,10.8
YEM,13.4
ZMB,17.5
ZWE,29.1
